Annotations,Reviews,Reviews_Cleaned,Annotator2,Annotator1,Final_Annotation
-1/1,"Love love love this place .. Its kind of small - all food are being burnt, trust t name of t restaurant .. Totally burnt t food to perfection .. †e are healthy and delicious ..  Bring your own fine wine .. Their wine list is abit short  But t palette experience is worth it",love love love this place it kind of small all food are being burnt trust name of restaurant totally burnt food to perfection are healthy and delicious bring your own fine wine their wine list is abit short but palette experience is worth it,-1,1,1
-1/0,"The satay was ok, it was a little tough and sauce was not that eventful",the satay wa ok it wa little tough and sauce wa not that eventful,-1,0,0
-1/1,"I loved the ambience of this place. Food was great although not perfect, service could also be more friendlier. But overall it was a wonderful experience and I would come back again.",loved the ambience of this place food wa great although not perfect service could also be more friendlier but overall it wa wonderful experience and would come back again,-1,1,1
-1/0,"Sadly this place was a huge disappointment service wise, though food was pretty good.",sadly this place wa huge disappointment service wise though food wa pretty good,-1,0,0
-1/1,"This was my only chili crab experience and I sort wished I ate it again. The two of us shared the chili crab with the fried buns. We didn't eat any rice, just fried buns. We used the buns to soak up all the chili sauce. That was the absolutely best part!",this wa my only chili crab experience and sort wished ate it again the two of u shared the chili crab with the fried bun we did not eat any rice just fried bun we used the bun to soak up all the chili sauce that wa the absolutely best part,-1,1,1
-1/0,"The crab served had a foul smell, like ammonia. The waiter was polite, and recognized the smell. He said that he could replace the crab’s portion with the smell, but has also said that there’s no way ammonia could have touched that crab, what he meant by that we are not so sure about it. The crab’s shell was also rubbery, making it difficult to break it.Rest of food was good, though, but nothing special.",the crab served had foul smell like ammonia the waiter wa polite and recognized the smell he said that he could replace the crab portion with the smell but ha also said that there no way ammonia could have touched that crab what he meant by that we are not so sure about it the crab shell wa also rubbery making it difficult to break it rest of food wa good though but nothing special,-1,0,0
-1/0,"The service and the interior was nice but the food was not unfortunally, there are way better places in Gothenburg than this.",the service and the interior wa nice but the food wa not unfortunally there are way better place in gothenburg than this,-1,0,0
-1/0,Service was shocking! ,service wa shocking,-1,0,0
-1/0,They did have a very uninspired grilled chicken breast and veggies for my daughter. Waiter not very knowledgable about the menu which was very limited for potential gluten free options. Great atmosphere but would not return again.?,they did have very uninspired grilled chicken breast and veggie for my daughter waiter not very knowledgable about the menu which wa very limited for potential gluten free option great atmosphere but would not return again,-1,0,0
-1/0,The food taste isn’t great. It’s just average. I must say that our dining experience was also average.,the food taste isn great it just average must say that our dining experience wa also average,-1,0,0
-1/1,"Nice people, friendly welcome, good beer. We both chose migas to start, a bit disappointed with the small amount of sausage, ham and raisins in it.",nice people friendly welcome good beer we both chose migas to start bit disappointed with the small amount of sausage ham and raisin in it,-1,1,1
-1/1,Our first experience of Israeli food and it was beyond the special.,our first experience of israeli food and it wa beyond the special,-1,1,1
-1/0,Please write down mathematically how such an objective would look like.,please write down mathematically how such an objective would look like,-1,0,0
-1/0,The staff seems very allergy aware but not familiar with alpha-gal allergy. ,the staff seems very allergy aware but not familiar with alpha gal allergy,-1,0,0
-1/0,Good food too many homeless hang out there,good food too many homeless hang out there,-1,0,0
-1/0,"Maybe my expectation was too high, but I wasn't very much impressed. Service was friendly and prompt, and the ambience was quaint.",maybe my expectation wa too high but wa not very much impressed service wa friendly and prompt and the ambience wa quaint,-1,0,0
-1/0,"Friendly service, nothing special food wise.",friendly service nothing special food wise,-1,0,0
-1/0,"Food is ok, but not super amazing",food is ok but not super amazing,-1,0,0
-1/0,"The place is nice, but the overall experience was a failure.",the place is nice but the overall experience wa failure,-1,0,0
-1/1,Farmer’s Keep is amazing! All big 8 allergen free and able to put together a menu yo accommodate other allergies as well even though everything is pre-made. So grateful that Allergy Eats helps us find places like this when we travel!,farmer keep is amazing all big allergen free and able to put together menu yo accommodate other allergy a well even though everything is pre made so grateful that allergy eats help u find place like this when we travel,-1,1,1
-1/0,The food was ok but our waiter was very unsympathetic. The prices were very high for what we usually pay for this kind of food. There was a 5€ supplement for the fries (frozen!) with the burger which wasn't clear when we first ordered.,the food wa ok but our waiter wa very unsympathetic the price were very high for what we usually pay for this kind of food there wa supplement for the fry frozen with the burger which wa not clear when we first ordered,-1,0,0
-1/1,"The salads and pasta were fresh and delicious, the drinks good but pricey.",the salad and pasta were fresh and delicious the drink good but pricey,-1,1,1
-1/1,"Nice and cozy. Ate some food, which was awful. Everyone ate pastry so it is probably the place for a good cup of coffee only.",nice and cozy ate some food which wa awful everyone ate pastry so it is probably the place for good cup of coffee only,-1,1,1
-1/0,"Had high hopes for an evening with a little bit of an extra special feel but the food was okay, nothing special, and the restaurant lacked the quality feel. They allow dogs which I wasn't expecting and seated alongside people feeding their dog from the table reduced that special evening feel. Left feeling disappointed, won't be returning.",had high hope for an evening with little bit of an extra special feel but the food wa okay nothing special and the restaurant lacked the quality feel they allow dog which wa not expecting and seated alongside people feeding their dog from the table reduced that special evening feel left feeling disappointed wo not be returning,-1,0,0
-1/0,"t was super busy and did have to wait about half hour before being seated even though booked but wasn't really bothered. Some staff was friendly than others and some staff not really seeming to know what they were doing. Some of the plates literally got chucked onto our table, I assume due to the stress and fact it was so busy. Didn't really get to us but we did have to rescue a couple of dishes from falling over the edge of the table. The food was great. No complaints there. Place was clean and bright.",wa super busy and did have to wait about half hour before being seated even though booked but wa not really bothered some staff wa friendly than others and some staff not really seeming to know what they were doing some of the plate literally got chucked onto our table assume due to the stress and fact it wa so busy did not really get to u but we did have to rescue couple of dish from falling over the edge of the table the food wa great no complaint there place wa clean and bright,-1,0,0
-1/0,"Recently tried this place, the food had basic flavor, not many spices. Your not missing much here. Prices are OK.",recently tried this place the food had basic flavor not many spice your not missing much here price are ok,-1,0,0
-1/0,"Menu is difficult to read and understand, dishes are coming even before tou have finished the first one, and it was ... good. But nothing exceptional. Service was very nice but not very attentive. ",menu is difficult to read and understand dish are coming even before tou have finished the first one and it wa good but nothing exceptional service wa very nice but not very attentive,-1,0,0
-1/0,"Overpriced chai, as expected in this part of manhattan. Wouldn't come again for the chai, but the coffee seems to be a bit, so I'll give it another try.",overpriced chai a expected in this part of manhattan would not come again for the chai but the coffee seems to be bit so will give it another try,-1,0,0
-1/0,Arrived 15 mins late due to traffic to be told table given away at 6pm and had to give table,arrived min late due to traffic to be told table given away at pm and had to give table,-1,0,0
-1/0,The food was nice but service terrible. The restaurant wasn't busy but we even had to ask for a glass of water 3 times before we got it. Our waitress had time to frequently chat to other staff and have something to eat in the restaurant area. They probably weren't too bothered about standard of service since there was a 10 % service charge,the food wa nice but service terrible the restaurant wa not busy but we even had to ask for glass of water time before we got it our waitress had time to frequently chat to other staff and have something to eat in the restaurant area they probably were not too bothered about standard of service since there wa service charge,-1,0,0
-1/0,"We went there with friends , loved their burgers but me and my friend had the fish and chips and we both got sick after.",we went there with friend loved their burger but me and my friend had the fish and chip and we both got sick after,-1,0,0
-1/0,"Wouldn't know...third attempt, no parking.",would not know third attempt no parking,-1,0,0
-1/0,"Great food, terrible service",great food terrible service,-1,0,0
-1/0,The staff was friendly but service poor.,the staff wa friendly but service poor,-1,0,0
-1/0,"Nice pub, staff are shite",nice pub staff are shite,-1,0,0
-1/0,"The restaurant was small, the portions were minute and the service was average at best.",the restaurant wa small the portion were minute and the service wa average at best,-1,0,0
-1/0,"This coffee shop should not market itself as ""Australian"" coffee shop. I just returned from Sydney and was trying to find a comparable Flat White. St. Kilda's was much to bitter tasting compared to the every coffee I had in Australia.",this coffee shop should not market itself a australian coffee shop just returned from sydney and wa trying to find comparable flat white st kilda is wa much to bitter tasting compared to the every coffee had in australia,-1,0,0
-1/0,Meal was safe but service and food were average. ,meal wa safe but service and food were average,-1,0,0
-1/0,The food is good but the prices are high. Its hard to get someones attention The meals are large enough to split,the food is good but the price are high it hard to get someone attention the meal are large enough to split,-1,0,0
-1/0,It is a novel idea but the tasting menu can be a bit underwhelming especially when they ply you with curry and breads at the end to fill you up. It has a great ambiance and very well trained service staff.,it is novel idea but the tasting menu can be bit underwhelming especially when they ply you with curry and bread at the end to fill you up it ha great ambiance and very well trained service staff,-1,0,0
-1/1,"An upscale quirky restaurant, they accommodated my soy allergy cheerfully. The maitre'd explained that they have controls in place to accommodate food allergies which they take seriously. Waitstaff worked with chef to make minor alterations where necessary. Food was delivered with the verbal assurance it was soy free. And it was delicious food! ",an upscale quirky restaurant they accommodated my soy allergy cheerfully the maitre would explained that they have control in place to accommodate food allergy which they take seriously waitstaff worked with chef to make minor alteration where necessary food wa delivered with the verbal assurance it wa soy free and it wa delicious food,-1,1,1
-1/0,The food is lovely but they are so slow! It firstly said an hour for delivery but this wasn’t enough for them! They extend this time and it actually arrived 1.5 hours after ordering. I only live 2 miles away and all I ordered was a cheese and tomato pizza!,the food is lovely but they are so slow it firstly said an hour for delivery but this wasn enough for them they extend this time and it actually arrived hour after ordering only live mile away and all ordered wa cheese and tomato pizza,-1,0,0
-1/0,I would not recommend this place to my worst enemy,would not recommend this place to my worst enemy,-1,0,0
-1/0,The food was rather good but the experience poor. Not a smile. Except to ask us to leave 3 minutes after having paid and to make a comment on TripAdvisor. So But here it is.,the food wa rather good but the experience poor not smile except to ask u to leave minute after having paid and to make comment on tripadvisor so but here it is,-1,0,0
-1/0,Buffet options are very little and the taste is also not that impressive. Ambience is awesome. Courteous staffs. Disappointed with food...,buffet option are very little and the taste is also not that impressive ambience is awesome courteous staff disappointed with food,-1,0,0
-1/0,Very good food and service but with VERY bad timing,very good food and service but with very bad timing,-1,0,0
